reviewer_id,listing_id,id,year,sentiment,weight
David_6343345,(L) 10295733,216961873,2017,Negative,1
David_6343345,(L) 10295733,220130442,2017,Negative,1
David_6343345,(L) 10295733,226464097,2018,Negative,1
David_6343345,(L) 10295733,228073735,2018,Positive,2
David_6343345,(L) 10295733,229656482,2018,Negative,1
David_6343345,(L) 10295733,268385401,2018,Negative,1
David_6343345,(L) 10295733,271267766,2018,Negative,1
David_6343345,(L) 10295733,273976053,2018,Negative,1
David_6343345,(L) 10295733,300737208,2018,Negative,1
David_6343345,(L) 10295733,308641767,2018,Negative,1
David_6343345,(L) 10295733,316224507,2018,Negative,1
David_6343345,(L) 10295733,322714138,2018,Positive,2
David_6343345,(L) 10295733,333100391,2018,Negative,1
David_6343345,(L) 10295733,346224397,2018,Negative,1
David_6343345,(L) 10295733,346496434,2018,Negative,1
David_6343345,(L) 10295733,348939594,2018,Positive,2
David_6343345,(L) 10995325,66730145,2016,Positive,2
David_6343345,(L) 16353148,233067573,2018,Negative,1
David_6343345,(L) 17175171,250641430,2018,Negative,1
David_6343345,(L) 17389986,338200081,2018,Negative,1
David_6343345,(L) 17703795,252714990,2018,Negative,1
David_6343345,(L) 19878627,245573681,2018,Negative,1
